Date,BGT North of NE 70th Total,Ped South,Ped North,Bike North,Bike South
1/1/19,0,0,0,0,0
1/1/19,2,1,0,1,0
1/1/19,1,0,0,0,1
1/1/19,0,0,0,0,0
1/1/19,1,0,0,1,0
1/1/19,1,0,0,1,0
1/1/19,2,0,0,1,1
1/1/19,5,1,0,2,2
1/1/19,17,8,3,1,5
1/1/19,57,18,17,12,10
1/1/19,87,20,29,12,26
1/1/19,137,28,18,34,57
1/1/19,104,20,17,25,42
1/1/19,134,15,24,42,53
1/1/19,146,18,22,53,53
1/1/19,105,24,22,41,18
1/1/19,55,16,20,11,8
1/1/19,12,2,5,3,2
1/1/19,15,4,4,4,3
1/1/19,4,1,2,1,0
1/1/19,2,0,1,0,1
1/1/19,3,1,2,0,0
1/1/19,3,1,0,0,2
1/1/19,0,0,0,0,0
1/2/19,0,0,0,0,0
1/2/19,0,0,0,0,0
1/2/19,0,0,0,0,0
1/2/19,0,0,0,0,0
1/2/19,1,0,0,1,0
1/2/19,11,1,2,8,0
1/2/19,25,0,2,22,1
1/2/19,32,3,3,26,0
1/2/19,62,8,7,40,7
1/2/19,54,10,15,21,8
1/2/19,31,5,8,11,7
1/2/19,35,11,12,8,4
1/2/19,40,8,11,9,12
1/2/19,47,9,10,13,15
1/2/19,45,15,6,12,12
1/2/19,53,16,9,5,23
1/2/19,71,14,11,18,28
1/2/19,72,5,4,6,57
1/2/19,34,0,0,4,30
1/2/19,21,2,3,4,12
1/2/19,5,0,0,0,5
1/2/19,4,0,0,4,0
1/2/19,1,0,0,0,1
1/2/19,1,0,0,0,1
1/3/19,0,0,0,0,0
1/3/19,0,0,0,0,0
1/3/19,0,0,0,0,0
1/3/19,0,0,0,0,0
1/3/19,2,0,0,2,0
1/3/19,8,0,0,7,1
1/3/19,20,2,2,15,1
1/3/19,32,1,5,23,3
1/3/19,46,8,10,25,3
1/3/19,35,8,8,16,3
1/3/19,27,12,9,3,3
1/3/19,26,5,6,8,7
1/3/19,33,10,13,6,4
1/3/19,30,9,10,4,7
1/3/19,20,2,4,7,7
1/3/19,19,4,5,1,9
1/3/19,29,3,4,3,19
1/3/19,47,5,8,4,30
1/3/19,28,3,1,4,20
1/3/19,15,0,2,1,12
1/3/19,2,0,1,0,1
1/3/19,2,0,0,1,1
1/3/19,0,0,0,0,0
1/3/19,0,0,0,0,0
1/4/19,0,0,0,0,0
1/4/19,0,0,0,0,0
1/4/19,0,0,0,0,0
1/4/19,2,0,0,0,2
1/4/19,1,0,0,1,0
1/4/19,6,0,0,4,2
